Date_Stamp,Time_Stamp,Server_Alpha_Status,Server_Numerical_Status
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:18,server down,0
2019-12-14,12:33:19,server up,1
2019-12-14,12:33:20,server up,1
2019-12-14,12:33:21,server up,1
2019-12-14,12:33:21,server up,1
2019-12-14,12:33:22,server up,1
2019-12-14,12:33:22,server up,1
2019-12-14,12:33:23,server up,1
2019-12-14,12:33:24,server up,1
2019-12-14,12:33:24,server up,1
2019-12-14,12:33:25,server up,1
2019-12-14,12:33:25,server up,1
2019-12-14,12:33:26,server up,1
2019-12-14,12:33:27,server up,1
2019-12-14,12:33:28,server up,1
2019-12-14,12:33:28,server up,1
2019-12-14,12:33:29,server up,1
2019-12-14,12:33:30,server up,1
2019-12-14,12:33:31,server up,1
2019-12-14,12:33:31,server up,1
2019-12-14,12:33:32,server up,1
2019-12-14,12:33:33,server up,1
2019-12-14,12:33:33,server up,1
2019-12-14,12:33:34,server up,1
2019-12-14,12:33:35,server up,1
2019-12-14,12:33:36,server up,1
2019-12-14,12:33:36,server up,1
2019-12-14,12:33:37,server up,1
2019-12-14,12:33:38,server up,1
